IsFraud;UserId;Age;RegWeekDay;RegHour;BranchId;MobileFlag;TVFlag;RegistrationId;FamilyStatusId;SexualityId;TrackingcodeFlag;ResidenceCountryId;EmailHostID;IpCountryId;RegCountryEqualsIpCountryFlag
1;57263;29;6;8;KJ;0;0;824;1;1;1;15;GH;NJ;0
0;41954;55;3;22;BC;0;0;246;1;1;0;44;KL;FG;1
0;73492;31;1;22;KL;0;0;831;2;1;0;53;AB;QR;1
1;75908;34;5;12;AC;1;0;3771;3;1;0;5;KL;XB;0
0;49018;18;1;10;UV;0;0;801;1;1;0;25;FG;GI;1
0;28192;62;5;4;LM;0;0;161;3;1;0;53;KL;QR;1
1;91307;31;0;16;LK;0;0;106;1;1;1;15;DE;NJ;0
1;41640;28;3;10;IJ;0;0;906;1;1;1;1;KL;AW;0
0;44132;62;0;16;KL;0;0;831;3;1;0;53;CD;QR;1
0;50155;50;3;3;LM;0;0;161;2;1;0;53;CD;QR;1
0;55071;37;3;12;UW;0;0;247;1;1;0;43;CD;MK;1
1;30094;26;1;20;PQ;0;0;93;1;1;0;16;BC;DA;1
1;56943;20;5;20;WX;0;1;755;1;1;1;8;JK;UW;1
0;50141;24;3;2;UW;0;0;247;1;1;0;43;EF;MK;1
1;41647;33;3;11;CE;0;0;1;1;1;1;14;AB;AW;0
0;23442;33;4;17;AB;0;0;912;1;1;0;44;FG;FG;1
1;101770;28;0;4;PQ;0;0;93;1;1;1;16;EF;NJ;0
0;114363;23;6;6;AB;0;0;4054;1;1;0;44;CD;FG;1
1;40106;33;1;14;QP;0;0;1065;1;1;1;18;KL;NJ;1
0;12475;24;3;15;KL;0;0;3926;1;1;0;53;CD;QR;1
0;103340;43;2;3;WX;0;0;755;1;1;1;8;HI;GI;0
0;44603;48;1;14;KL;0;0;831;3;1;1;53;FG;QR;1
1;3212;26;5;17;VX;0;0;807;1;1;1;10;KL;DA;0
0;105030;31;4;14;BC;0;0;246;1;1;0;44;CD;FG;1
0;29557;40;0;18;LM;0;0;94;3;1;0;53;CD;QR;1
0;97768;47;1;20;LM;0;0;94;3;1;0;53;FG;QR;1
0;5755;36;3;14;LM;0;0;161;3;1;0;53;CD;QR;1
0;59467;33;2;15;AB;0;0;825;2;1;0;44;KL;FG;1
0;7839;40;0;19;TV;0;0;3327;3;1;0;43;KL;MK;1
1;107258;41;0;17;WX;0;0;755;1;1;1;8;KL;UW;1
0;58914;48;1;15;UW;0;0;247;1;1;0;43;CD;MK;1
1;82524;41;1;10;AC;1;0;3771;3;1;0;5;KL;CX;0
